% Altitude (m),CG location (cm),Mach number
270.2,456.52,0.18515
270.83,456.52,0.18539
271.46,456.52,0.18563
272.09,456.52,0.18587
272.72,456.51,0.1861
273.35,456.51,0.18634
273.98,456.51,0.18658
274.61,456.51,0.18681
275.24,456.51,0.18705
275.88,456.5,0.18729
276.51,456.5,0.18754
277.15,456.5,0.18778
277.78,456.5,0.18802
278.42,456.49,0.18826
279.06,456.49,0.1885
279.7,456.49,0.18873
280.34,456.49,0.18897
280.98,456.49,0.18921
281.62,456.48,0.18945
282.26,456.48,0.18968
282.9,456.48,0.18992
283.54,456.48,0.19015
284.19,456.48,0.19039
284.83,456.47,0.19062
285.48,456.47,0.19086
286.13,456.47,0.1911
286.77,456.47,0.19134
287.42,456.47,0.19158
288.07,456.46,0.19182
288.72,456.46,0.19207
289.37,456.46,0.19231
290.02,456.46,0.19255
290.67,456.45,0.19279
291.33,456.45,0.19303
291.98,456.45,0.19328
292.64,456.45,0.19352
293.29,456.45,0.19376
293.95,456.44,0.194
294.61,456.44,0.19424
295.26,456.44,0.19448
295.92,456.44,0.19472
296.58,456.44,0.19496
297.24,456.43,0.1952
297.9,456.43,0.19544
298.56,456.43,0.19569
299.23,456.43,0.19593
299.89,456.42,0.19617
300.56,456.42,0.19641
301.22,456.42,0.19665
301.89,456.42,0.19689
302.55,456.42,0.19713
303.22,456.41,0.19737
303.89,456.41,0.19761
304.56,456.41,0.19785
305.23,456.41,0.1981
305.9,456.41,0.19834
306.57,456.4,0.19858
307.25,456.4,0.19883
307.92,456.4,0.19907
308.59,456.4,0.19932
309.27,456.39,0.19957
309.94,456.39,0.19981
310.62,456.39,0.20006
311.3,456.39,0.2003
311.98,456.39,0.20055
312.66,456.38,0.20079
313.34,456.38,0.20104
314.02,456.38,0.20128
314.7,456.38,0.20152
315.38,456.38,0.20176
316.06,456.37,0.202
316.75,456.37,0.20224
317.43,456.37,0.20248
318.12,456.37,0.20272
318.8,456.36,0.20296
319.49,456.36,0.2032
320.18,456.36,0.20344
320.87,456.36,0.20368
321.56,456.36,0.20393
322.25,456.35,0.20417
322.94,456.35,0.20442
323.63,456.35,0.20467
324.33,456.35,0.20491
325.02,456.35,0.20517
325.72,456.34,0.20542
326.41,456.34,0.20567
327.11,456.34,0.20592
327.8,456.34,0.20618
328.5,456.33,0.20642
329.2,456.33,0.20667
329.9,456.33,0.20691
330.6,456.33,0.20716
331.3,456.33,0.2074
332.01,456.32,0.20765
332.71,456.32,0.2079
333.41,456.32,0.20815
334.12,456.32,0.2084
334.82,456.32,0.20864
335.53,456.31,0.20889
336.24,456.31,0.20913
336.94,456.31,0.20937
337.65,456.31,0.20962
338.36,456.3,0.20986
339.07,456.3,0.21011
339.78,456.3,0.21035
340.5,456.3,0.2106
341.21,456.3,0.21085
341.92,456.29,0.21109
342.64,456.29,0.21133
343.35,456.29,0.21157
344.07,456.29,0.21181
344.79,456.28,0.21205
345.51,456.28,0.2123
346.22,456.28,0.21254
346.94,456.28,0.21279
347.66,456.28,0.21304
348.39,456.27,0.21329
349.11,456.27,0.21353
349.83,456.27,0.21378
350.55,456.27,0.21403
351.28,456.27,0.21428
352,456.26,0.21453
352.73,456.26,0.21477
353.46,456.26,0.21502
354.19,456.26,0.21527
354.92,456.25,0.21552
355.64,456.25,0.21577
356.38,456.25,0.21602
357.11,456.25,0.21626
357.84,456.25,0.21651
358.57,456.24,0.21676
359.31,456.24,0.21701
360.04,456.24,0.21726
360.78,456.24,0.21751
361.51,456.23,0.21776
362.25,456.23,0.218
362.99,456.23,0.21825
363.73,456.23,0.2185
364.47,456.23,0.21875
365.21,456.22,0.21899
365.95,456.22,0.21924
366.69,456.22,0.21949
367.43,456.22,0.21974
368.18,456.22,0.21999
368.92,456.21,0.22024
369.67,456.21,0.22049
370.41,456.21,0.22073
371.16,456.21,0.22098
